Datetime,MEDIAN Babs(1/Mm),MEAN Babs(1/Mm)
2021-12-14 16:18:21+0200,352.911573724933,398.825541479982
2021-12-14 16:18:26+0200,406.797988272665,416.418209727233
2021-12-14 16:18:31+0200,426.241972887946,426.779055231934
2021-12-14 16:18:36+0200,441.76018470604,429.517368968067
2021-12-14 16:18:41+0200,442.317045309056,428.730580629426
2021-12-14 16:18:46+0200,424.528479828309,426.129527389994
2021-12-14 16:18:51+0200,420.372685956816,424.105318216516
2021-12-14 16:18:56+0200,426.663205800833,425.842990286233
2021-12-14 16:19:01+0200,412.262646762873,431.936349204496
2021-12-14 16:19:06+0200,409.027471894932,441.988866060627
2021-12-14 16:19:11+0200,437.083926414196,453.282435127993
2021-12-14 16:19:16+0200,458.536590193562,463.049982431304
2021-12-14 16:19:21+0200,485.454686986915,469.388981114254
2021-12-14 16:19:26+0200,464.690876781293,479.169627096527
2021-12-14 16:19:31+0200,476.560510638285,494.092604355878
2021-12-14 16:19:36+0200,488.660842155327,512.128231294807
2021-12-14 16:19:41+0200,529.538939710339,528.265061845993
2021-12-14 16:19:46+0200,543.156973929581,540.26202417095
2021-12-14 16:19:51+0200,550.613566864922,551.347556861984
2021-12-14 16:19:56+0200,540.721977786154,562.169301751392
2021-12-14 16:20:01+0200,542.631702231804,571.740460732072
2021-12-14 16:20:06+0200,574.079458297818,575.695472195866
2021-12-14 16:20:11+0200,604.843166959053,574.338478979805
2021-12-14 16:20:16+0200,573.279446484494,570.140189124376
2021-12-14 16:20:21+0200,556.892552619637,571.006736733427
2021-12-14 16:20:26+0200,549.668410753158,582.258823804741
2021-12-14 16:20:31+0200,561.355566427103,597.64032802219
2021-12-14 16:20:36+0200,609.756133515678,613.298233431781
2021-12-14 16:20:41+0200,631.196714102137,622.301191656667
2021-12-14 16:20:46+0200,643.341661826366,621.146140485132
2021-12-14 16:20:51+0200,657.456830245973,612.586087220884
2021-12-14 16:20:56+0200,612.359695000363,599.005519297037
2021-12-14 16:21:01+0200,606.146102780199,586.023459698954
2021-12-14 16:21:06+0200,566.966048915597,576.446606051562
2021-12-14 16:21:11+0200,586.804201774689,575.488528182956
2021-12-14 16:21:16+0200,548.532497011798,585.54821317054
2021-12-14 16:21:21+0200,556.633463931591,604.597845299854
2021-12-14 16:21:26+0200,599.564258710092,625.299727152056
2021-12-14 16:21:31+0200,624.27477023796,636.298685707726
2021-12-14 16:21:36+0200,653.413511695046,634.841847664856
2021-12-14 16:21:41+0200,667.781747297236,630.353552865437
2021-12-14 16:21:46+0200,623.899589959654,631.317214884273
2021-12-14 16:21:51+0200,595.366481373886,640.151977865334
2021-12-14 16:27:06+0200,804.760863978453,803.86185833255
2021-12-14 16:27:11+0200,775.326503711889,804.438615050223
2021-12-14 16:27:16+0200,799.836805923964,814.90623625364
2021-12-14 16:27:21+0200,784.531327317203,830.906457583901
2021-12-14 16:27:26+0200,828.990403560569,848.014238428183
2021-12-14 16:27:31+0200,847.873546897853,860.394452588673
2021-12-14 16:27:36+0200,870.85637015368,862.659234559682
2021-12-14 16:27:41+0200,877.877493605986,857.824441885493
2021-12-14 16:27:46+0200,877.88315165924,856.241186772937
2021-12-14 16:27:51+0200,836.633912597778,862.114122209732
2021-12-14 16:27:56+0200,837.734604259096,874.374074115662
2021-12-14 16:28:01+0200,878.586435768261,889.441766749379
2021-12-14 16:28:06+0200,897.013849330152,899.500932381495
2021-12-14 16:28:11+0200,918.345392601182,903.801428691809
2021-12-14 16:28:16+0200,916.205882906233,904.706802540337
2021-12-14 16:28:21+0200,896.786055055858,906.124226496394
